suite,variant,ratio,policy,policy_name,n,written_gib_mean,written_gib_std,bw_mib_mean,bw_mib_std,iops_mean,iops_std,avg_us_mean,avg_us_std,p99_us_mean,p99_us_std,slc_migration_cnt_mean,slc_migration_cnt_std,slc_migrate_pages_mean,slc_migrate_pages_std,slc_pages_per_gib_mean,slc_pages_per_gib_std,tlc_gc_cnt_mean,tlc_gc_cnt_std,tlc_gc_pages_mean,tlc_gc_pages_std,tlc_gc_pages_per_gib_mean,tlc_gc_pages_per_gib_std,erase_sum_mean,erase_sum_std,erase_per_gib_mean,erase_per_gib_std,erase_max_mean,erase_max_std,erase_cv_all_mean,erase_cv_all_std
ratio_sweep,burst,10,0,Greedy,3,1.0,0.0,828.3251953125,25.109952206674393,212051.35044666668,6428.128303096361,75.24891654066668,2.3171788334672287,167.59466666666665,59.72065389237909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_sweep,burst,20,0,Greedy,3,1.0,0.0,797.5911458333334,18.653533030571,204183.37528966667,4775.297930512556,78.12008943433334,1.816654523882972,175.104,55.22009605207148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_sweep,sustained,0,0,Greedy,3,154.0,0.0,1070.80078125,1.4198563887280349,274125.11742466665,363.5095098222768,58.122315503,0.07624962708216397,126.80533333333334,0.5912066756501774,0.0,0.0,0.0,0.0,0.0,0.0,73332.0,0.0,0.0,0.0,0.0,0.0,293328.0,0.0,1904.7272727272727,0.0,5.0,0.0,1.0125666666666666,0.0032929217016706386
ratio_sweep,sustained,5,0,Greedy,3,154.0,0.0,824.2076822916666,1.971311890431416,210997.32869166668,504.63419870763227,75.595934756,0.1790326367696197,539.3066666666667,4.729653405201419,104499.0,1.7320508075688772,36361307.666666664,1724.5551117123898,236112.38744588743,11.198409816318614,63564.666666666664,4.509249752822894,0.0,0.0,0.0,0.0,672254.6666666666,18.90326250501043,4365.290043290043,0.12274845782493386,76.0,1.0,2.8064,0.0006557438524302633
ratio_sweep,sustained,10,0,Greedy,3,154.0,0.0,866.2919921875,1.7423320077400037,221770.88477133334,446.04898652837636,71.910647149,0.1466206267730114,354.30400000000003,4.095999999999975,102847.33333333333,8.082903768654761,32126308.0,24210.60637406672,208612.38961038963,157.21172970173103,54176.333333333336,62.69237061503843,0.0,0.0,0.0,0.0,628094.6666666666,283.07831660749525,4078.5367965367964,1.8381708870615625,36.0,0.0,1.9632333333333334,0.0022300971578236607
ratio_sweep,sustained,20,0,Greedy,3,154.0,0.0,937.1419270833334,0.8093048261663137,239908.458847,207.1986021602263,66.451079436,0.058277714622589225,194.21866666666665,1.1824133513003547,99551.0,6.244997998398398,25053813.0,7731.167246929794,162687.0974025974,50.20238472032289,39034.0,20.223748416156685,0.0,0.0,0.0,0.0,554340.0,62.48199740725323,3599.61038961039,0.405727255891181,17.0,0.0,1.4279666666666666,0.0007505553499464309
workload_sensitivity,uniform,10,0,Greedy,3,154.0,0.0,866.7239583333334,1.0807526490138357,221881.43600966665,276.67336775067145,71.87417257300001,0.0897299931864845,351.5733333333333,2.3648267026006766,102848.33333333333,3.5118845842842465,32097323.666666668,9728.124605150437,208424.17965367963,63.16964029318543,54101.0,25.709920264364882,0.0,0.0,0.0,0.0,627797.3333333334,89.2038863129479,4076.6060606060605,0.5792460150190563,35.333333333333336,0.5773502691896257,1.9619333333333333,0.0005507570547285495
workload_sensitivity,uniform,10,1,Random,3,154.0,0.0,857.0569661458334,0.3213682067540864,219406.72825233336,82.20378485129561,72.688516815,0.027997862536904256,373.41866666666664,2.3648267026007095,102856.33333333333,0.5773502691896257,32365883.666666668,2179.299505192743,210168.07575757577,14.151295488263758,54799.0,5.291502622129181,0.0,0.0,0.0,0.0,630621.3333333334,19.73153144926499,4094.943722943723,0.12812682759260766,49.666666666666664,1.1547005383792515,1.9180333333333335,0.00035118845842850186
workload_sensitivity,uniform,10,2,FIFO,3,154.0,0.0,869.6057942708334,0.9958114323675048,222619.20205700002,255.01414851408347,71.63475486766667,0.0811111236643888,348.8426666666667,2.3648267026007095,102850.0,2.6457513110645907,31863390.666666668,3840.5971323914378,206905.1341991342,24.93894241811744,53492.0,9.539392014169456,0.0,0.0,0.0,0.0,625368.0,48.662100242385755,4060.831168831169,0.31598766391156474,32.0,0.0,1.9231,9.999999999998899e-05
workload_sensitivity,uniform,10,3,Cost-Benefit,3,154.0,0.0,865.7919921875,0.3637272547791004,221642.87353833334,93.08515739767375,71.951223071,0.02981795341348551,358.3999999999999,0.0,102852.0,1.0,32101912.666666668,3653.306766935037,208453.97835497838,23.72277121386932,54112.333333333336,9.073771725877465,0.0,0.0,0.0,0.0,627857.3333333334,37.16629297271027,4076.995670995671,0.24133956475798204,34.333333333333336,0.5773502691896257,1.9600333333333333,0.00040414518843269356
