suite,variant,rep,ratio,policy,policy_name,written_gib,bw_mib,iops,avg_us,p99_us,slc_migration_cnt,slc_migrate_pages,slc_pages_per_gib,tlc_gc_cnt,tlc_gc_pages,tlc_gc_pages_per_gib,erase_sum,erase_per_gib,erase_max,erase_cv_all,run_dir
workload_sensitivity,uniform,1,10,0,Greedy,154.0,865.486328125,221564.589336,71.97652761600001,350.208,102852.0,32086387.0,208353.16233766233,54072.0,0.0,0.0,627696.0,4075.948051948052,35.0,1.9614,results/20260828_161656_slcpolicy0_greedy_ext_uniform_policy0_greedy_rep1
workload_sensitivity,uniform,2,10,0,Greedy,154.0,867.2041015625,222004.443369,71.83692543400001,354.304,102848.0,32100572.0,208445.27272727274,54110.0,0.0,0.0,627832.0,4076.8311688311687,35.0,1.9619,results/20260828_162913_slcpolicy0_greedy_ext_uniform_policy0_greedy_rep2
workload_sensitivity,uniform,3,10,0,Greedy,154.0,867.4814453125,222075.275324,71.809064669,350.208,102845.0,32105012.0,208474.1038961039,54121.0,0.0,0.0,627864.0,4077.038961038961,36.0,1.9625,results/20260828_164128_slcpolicy0_greedy_ext_uniform_policy0_greedy_rep3
workload_sensitivity,uniform,1,10,1,Random,154.0,856.716796875,219319.693595,72.718025397,374.784,102856.0,32368388.0,210184.33766233767,54805.0,0.0,0.0,630644.0,4095.090909090909,51.0,1.9177,results/20260828_162000_slcpolicy1_random_ext_uniform_policy1_random_rep1
workload_sensitivity,uniform,2,10,1,Random,154.0,857.35546875,219483.050894,72.662325173,374.784,102857.0,32364418.0,210158.55844155845,54795.0,0.0,0.0,630608.0,4094.8571428571427,49.0,1.9184,results/20260828_163216_slcpolicy1_random_ext_uniform_policy1_random_rep2
workload_sensitivity,uniform,3,10,1,Random,154.0,857.0986328125,219417.440268,72.68519987500001,370.688,102856.0,32364845.0,210161.33116883118,54797.0,0.0,0.0,630612.0,4094.883116883117,49.0,1.918,results/20260828_164432_slcpolicy1_random_ext_uniform_policy1_random_rep3
workload_sensitivity,uniform,1,10,2,FIFO,154.0,870.1953125,222770.106887,71.584011307,346.112,102848.0,31861048.0,206889.9220779221,53486.0,0.0,0.0,625336.0,4060.6233766233768,32.0,1.9231,results/20260828_162306_slcpolicy2_fifo_ext_uniform_policy2_fifo_rep1
workload_sensitivity,uniform,2,10,2,FIFO,154.0,870.166015625,222762.731411,71.59195163300001,350.208,102849.0,31861301.0,206891.56493506493,53487.0,0.0,0.0,625344.0,4060.6753246753246,32.0,1.9232,results/20260828_163522_slcpolicy2_fifo_ext_uniform_policy2_fifo_rep2
workload_sensitivity,uniform,3,10,2,FIFO,154.0,868.4560546875,222324.767873,71.72830166300001,350.208,102853.0,31867823.0,206933.91558441558,53503.0,0.0,0.0,625424.0,4061.194805194805,32.0,1.923,results/20260828_164738_slcpolicy2_fifo_ext_uniform_policy2_fifo_rep3
workload_sensitivity,uniform,1,10,3,Cost-Benefit,154.0,865.3720703125,221535.408744,71.985483799,358.4,102852.0,32097754.0,208426.97402597402,54102.0,0.0,0.0,627816.0,4076.7272727272725,34.0,1.9598,results/20260828_162609_slcpolicy3_costbenefit_ext_uniform_policy3_costbenefit_rep1
workload_sensitivity,uniform,2,10,3,Cost-Benefit,154.0,865.9951171875,221694.779734,71.937052814,358.4,102851.0,32103379.0,208463.5,54116.0,0.0,0.0,627868.0,4077.064935064935,34.0,1.9598,results/20260828_163824_slcpolicy3_costbenefit_ext_uniform_policy3_costbenefit_rep2
workload_sensitivity,uniform,3,10,3,Cost-Benefit,154.0,866.0087890625,221698.432137,71.9311326,358.4,102853.0,32104605.0,208471.46103896105,54119.0,0.0,0.0,627888.0,4077.194805194805,35.0,1.9605,results/20260828_165041_slcpolicy3_costbenefit_ext_uniform_policy3_costbenefit_rep3
